Migration Rate,Corridor Width,1L2T - Invasion
0.095,0.15,0
0.095,0.18,0
0.095,0.17,0
0.095,0.2,0
0.095,0.19,0
0.1,0.02,0.000122251
0.1,0.01,0.000141068
0.1,0.04,8.60E-05
0.1,0.03,0.000156479
0.1,0.06,0
0.1,0.05,0.000253707
0.1,0.08,0
0.1,0.07,0
0.1,0.1,0
0.1,0.09,0
0.1,0.12,0
0.1,0.11,0
0.1,0.14,0
0.1,0.13,0
0.1,0.16,0
0.1,0.15,0
0.1,0.18,0
0.1,0.17,0
0.1,0.2,0
0.1,0.19,0
0.02,0,0
0.025,0,0
0.03,0,0
0.035,0,0
0.04,0,0
0.045,0,0
0.05,0,0
0.055,0,0
0.06,0,0
0.065,0,0
0.07,0,0
0.075,0,0
0.08,0,0
0.085,0,0
0.09,0,0
0.095,0,0
0.1,0,0
