Fitness,Migration Rate,Normal Allele - Persistance
0.68,0.04,0.002161207
0.68,0.045,0.001893695
0.68,0.05,0.000903068
0.68,0.055,0.001485096
0.68,0.06,0.000517751
0.68,0.065,0.001164944
0.68,0.07,0.000540819
0.68,0.075,0.000375178
0.68,0.08,0.000477898
0.68,0.085,0.000561665
0.68,0.09,0.000602296
0.68,0.095,0.000467585
0.68,0.1,0.000711978
0.7,0.02,0.011735177
0.7,0.025,0.007243386
0.7,0.03,0.005274534
0.7,0.035,0.002646371
0.7,0.04,0.00319875
0.7,0.045,0.001882642
0.7,0.05,0.002847508
0.7,0.055,0.001465257
0.7,0.06,0.001586801
0.7,0.065,0.001002246
0.7,0.07,0.001341117
0.7,0.075,0.000564306
0.7,0.08,0.000567374
0.7,0.085,0.000893622
0.7,0.09,0.000346051
0.7,0.095,0.000721379
0.7,0.1,0.000800535
0.72,0.02,0.01761357
0.72,0.025,0.010739511
0.72,0.03,0.010072445
0.72,0.035,0.00489295
0.72,0.04,0.004133742
0.72,0.045,0.004089871
0.72,0.05,0.002850223
0.72,0.055,0.001927375
0.72,0.06,0.00173984
0.72,0.065,0.001658424
0.72,0.07,0.001596344
0.72,0.075,0.001281055
0.72,0.08,0.001371429
0.72,0.085,0.0014107
0.72,0.09,0.00109009
0.72,0.095,0.001313004
0.72,0.1,0.001054531
0.74,0.02,0.02375304
0.74,0.025,0.016374973
0.74,0.03,0.00983294
0.74,0.035,0.00823641
0.74,0.04,0.007784125
0.74,0.045,0.00599309
0.74,0.05,0.003317769
0.74,0.055,0.003800482
0.74,0.06,0.002314062
0.74,0.065,0.002195694
0.74,0.07,0.002517011
0.74,0.075,0.002490212
0.74,0.08,0.001658214
0.74,0.085,0.002073184
0.74,0.09,0.001916698
0.74,0.095,0.001780554
0.74,0.1,0.001166163
0.76,0.02,0.02985557
0.76,0.025,0.02517336
0.76,0.03,0.016232226
0.76,0.035,0.011568575
0.76,0.04,0.010498334
0.76,0.045,0.007969215
0.76,0.05,0.006647121
0.76,0.055,0.00459681
0.76,0.06,0.004444996
0.76,0.065,0.003114022
0.76,0.07,0.003891859
0.76,0.075,0.002831174
0.76,0.08,0.003151118
0.76,0.085,0.002971541
0.76,0.09,0.002374575
0.76,0.095,0.002742785
0.76,0.1,0.002290581
0.78,0.02,0.04892022
0.78,0.025,0.02667694
0.78,0.03,0.02132621
0.78,0.035,0.015234942
0.78,0.04,0.013826339
0.78,0.045,0.010270965
0.78,0.05,0.008647622
0.78,0.055,0.006789868
0.78,0.06,0.008248284
0.78,0.065,0.006029641
0.78,0.07,0.004819956
0.78,0.075,0.004604737
0.78,0.08,0.004208607
0.78,0.085,0.004128353
0.78,0.09,0.003557447
0.78,0.095,0.003621555
0.78,0.1,0.003419722
0.8,0.02,0.06222184
0.8,0.025,0.04918592
0.8,0.03,0.02915379
0.8,0.035,0.02376132
0.8,0.04,0.016991384
0.8,0.045,0.013500076
0.8,0.05,0.010894131
0.8,0.055,0.011141043
0.8,0.06,0.009725754
0.8,0.065,0.008348398
0.8,0.07,0.007686219
0.8,0.075,0.005657635
0.8,0.08,0.006563772
0.8,0.085,0.005911875
0.8,0.09,0.005610228
0.8,0.095,0.005720738
0.8,0.1,0.006864689
0.82,0.02,0.08155546
0.82,0.025,0.05870937
0.82,0.03,0.05151512
0.82,0.035,0.03090811
0.82,0.04,0.02783566
0.82,0.045,0.02113296
0.82,0.05,0.01895722
0.82,0.055,0.013685436
0.82,0.06,0.011834801
0.82,0.065,0.010806896
0.82,0.07,0.009750281
0.82,0.075,0.01091972
0.82,0.08,0.008037204
0.82,0.085,0.007822999
0.82,0.09,0.008171409
0.82,0.095,0.007151357
0.82,0.1,0.006648143
0.84,0.02,0.11073072
0.84,0.025,0.0844234
0.84,0.03,0.06666399
0.84,0.035,0.05204453
0.84,0.04,0.03984645
0.84,0.045,0.03227523
0.84,0.05,0.02435211
0.84,0.055,0.018903932
0.84,0.06,0.017154703
0.84,0.065,0.012333068
0.84,0.07,0.016030238
0.84,0.075,0.012871311
0.84,0.08,0.013519982
0.84,0.085,0.013833079
0.84,0.09,0.012096947
0.84,0.095,0.012644677
0.84,0.1,0.012033419
0.86,0.02,0.1396024
0.86,0.025,0.11556244
0.86,0.03,0.08314263
0.86,0.035,0.06628233
0.86,0.04,0.04708142
0.86,0.045,0.04265569
0.86,0.05,0.02929898
0.86,0.055,0.02637921
0.86,0.06,0.02447002
0.86,0.065,0.02175169
0.86,0.07,0.02073057
0.86,0.075,0.02087754
0.86,0.08,0.01854839
0.86,0.085,0.0177458
0.86,0.09,0.017351519
0.86,0.095,0.01672573
0.86,0.1,0.016899746
0.88,0.02,0.1794072
0.88,0.025,0.1410691
0.88,0.03,0.10440747
0.88,0.035,0.08921566
0.88,0.04,0.06986248
0.88,0.045,0.05088459
0.88,0.05,0.04821992
0.88,0.055,0.03838471
0.88,0.06,0.03302769
0.88,0.065,0.03251383
0.88,0.07,0.0305325
0.88,0.075,0.0260918
0.88,0.08,0.02726334
0.88,0.085,0.02463344
0.88,0.09,0.0222443
0.88,0.095,0.0217589
0.88,0.1,0.02245692
0.9,0.02,0.230794
0.9,0.025,0.1835915
0.9,0.03,0.14622809
0.9,0.035,0.1069809
0.9,0.04,0.08945183
0.9,0.045,0.06982701
0.9,0.05,0.06990034
0.9,0.055,0.05399696
0.9,0.06,0.0458152
0.9,0.065,0.03918871
0.9,0.07,0.03581973
0.9,0.075,0.03564995
0.9,0.08,0.03317169
0.9,0.085,0.03105177
0.9,0.09,0.0305777
0.9,0.095,0.03240824
0.9,0.1,0.03153702
0.92,0.02,0.2600461
0.92,0.025,0.2039643
0.92,0.03,0.1798011
0.92,0.035,0.1589352
0.92,0.04,0.10866971
0.92,0.045,0.10071507
0.92,0.05,0.07981768
0.92,0.055,0.06839539
0.92,0.06,0.06358645
0.92,0.065,0.05544343
0.92,0.07,0.05387659
0.92,0.075,0.05223548
0.92,0.08,0.04405985
0.92,0.085,0.04648794
0.92,0.09,0.04927919
0.92,0.095,0.04506684
0.92,0.1,0.04652564
0.94,0.02,0.3405473
0.94,0.025,0.2757344
0.94,0.03,0.225029
0.94,0.035,0.1946577
0.94,0.04,0.1571667
0.94,0.045,0.1157376
0.94,0.05,0.10594037
0.94,0.055,0.08988857
0.94,0.06,0.08401633
0.94,0.065,0.07226349
0.94,0.07,0.07616201
0.94,0.075,0.06812353
0.94,0.08,0.06263465
0.94,0.085,0.06347705
0.94,0.09,0.06374986
0.94,0.095,0.05875593
0.94,0.1,0.06240163
0.96,0.02,0.3807505
0.96,0.025,0.3272797
0.96,0.03,0.2685985
0.96,0.035,0.2277913
0.96,0.04,0.2017351
0.96,0.045,0.1639989
0.96,0.05,0.1416242
0.96,0.055,0.1282941
0.96,0.06,0.10593204
0.96,0.065,0.10784557
0.96,0.07,0.0886222
0.96,0.075,0.08530186
0.96,0.08,0.08436966
0.96,0.085,0.09585252
0.96,0.09,0.08245168
0.96,0.095,0.0812455
0.96,0.1,0.07773662
0.98,0.02,0.447854
0.98,0.025,0.3482286
0.98,0.03,0.3171433
0.98,0.035,0.2765691
0.98,0.04,0.2337468
0.98,0.045,0.2062677
0.98,0.05,0.1760774
0.98,0.055,0.1632636
0.98,0.06,0.1568266
0.98,0.065,0.1351565
0.98,0.07,0.12108598
0.98,0.075,0.11336179
0.98,0.08,0.11572313
0.98,0.085,0.10891111
0.98,0.09,0.10462299
0.98,0.095,0.11362514
0.98,0.1,0.11260596
1,0.02,0.4875185
1,0.025,0.4511765
1,0.03,0.3954853
1,0.035,0.338315
1,0.04,0.2959792
1,0.045,0.2395155
1,0.05,0.2276293
1,0.055,0.2081421
1,0.06,0.1698666
1,0.065,0.1717085
1,0.07,0.1627591
1,0.075,0.1467623
1,0.08,0.1505083
1,0.085,0.1480232
1,0.09,0.1450034
1,0.095,0.1449404
1,0.1,0.1384627
