Fitness,Corridor Width,RCT - Invasion
0.86,0.16,7.06E-05
0.88,0.16,0.000164691
0.9,0.16,0.000276075
0.92,0.16,0.000470753
0.94,0.16,0.000643804
0.96,0.16,0.00242829
0.98,0.16,0.005710484
1,0.16,0.011813124
0.6,0.17,0
0.62,0.17,0
0.64,0.17,0
0.66,0.17,0
0.68,0.17,0
0.7,0.17,0
0.72,0.17,0
0.74,0.17,0
0.76,0.17,0
0.78,0.17,0
0.8,0.17,0
0.82,0.17,7.80E-06
0.84,0.17,3.86E-05
0.86,0.17,6.21E-05
0.88,0.17,7.80E-05
0.9,0.17,0.000226504
0.92,0.17,0.000259174
0.94,0.17,0.000912468
0.96,0.17,0.002017369
0.98,0.17,0.005876347
1,0.17,0.014995857
0.6,0.18,0
0.62,0.18,0
0.64,0.18,0
0.66,0.18,0
0.68,0.18,0
0.7,0.18,0
0.72,0.18,0
0.74,0.18,0
0.76,0.18,0
0.78,0.18,0
0.8,0.18,0
0.82,0.18,0
0.84,0.18,1.52E-05
0.86,0.18,7.67E-05
0.88,0.18,8.43E-05
0.9,0.18,0.000255227
0.92,0.18,0.000501322
0.94,0.18,0.000704389
0.96,0.18,0.002307263
0.98,0.18,0.005910577
1,0.18,0.016761004
0.6,0.19,0
0.62,0.19,0
0.64,0.19,0
0.66,0.19,0
0.68,0.19,0
0.7,0.19,0
0.72,0.19,0
0.74,0.19,0
0.76,0.19,0
0.78,0.19,0
0.8,0.19,0
0.82,0.19,0
0.84,0.19,1.51E-05
0.86,0.19,5.33E-05
0.88,0.19,0.000146025
0.9,0.19,0.000137676
0.92,0.19,0.000332384
0.94,0.19,0.000581266
0.96,0.19,0.001998613
0.98,0.19,0.004520945
1,0.19,0.010880772
0.6,0.2,0
0.62,0.2,0
0.64,0.2,0
0.66,0.2,0
0.68,0.2,0
0.7,0.2,0
0.72,0.2,0
0.74,0.2,0
0.76,0.2,0
0.78,0.2,0
0.8,0.2,0
0.82,0.2,0
0.84,0.2,0
0.86,0.2,2.29E-05
0.88,0.2,0.00011371
0.9,0.2,0.000106348
0.92,0.2,0.000341992
0.94,0.2,0.000730285
0.96,0.2,0.001910011
0.98,0.2,0.007319614
1,0.2,0.02299629
0.6,0,0.00E+00
0.62,0,0.00E+00
0.64,0,0.00E+00
0.66,0,0.00E+00
0.68,0,0.00E+00
0.7,0,0.00E+00
0.72,0,0.00E+00
0.74,0,0.00E+00
0.76,0,0.00E+00
0.78,0,0.00E+00
0.8,0,0.00E+00
0.82,0,0.00E+00
0.84,0,0.00E+00
0.86,0,0.00E+00
0.88,0,0.00E+00
0.9,0,0.00E+00
0.92,0,0.00E+00
0.94,0,0.00E+00
0.96,0,0.00E+00
0.98,0,0.00E+00
1,0,0.00E+00
